goos: darwin
goarch: amd64
pkg: github.com/dkhrunov/dsa-go/searching
cpu: Intel(R) Core(TM) i5-1038NG7 CPU @ 2.00GHz
BenchmarkSearch/LinearSearch-100-8         	47607896	        25.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-100-8         	 3570670	       339.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-100-8     	484642474	         2.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-100-8       	474038584	         2.655 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-100-8                  	123217377	         9.813 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-100-8                    	44110359	        28.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-100-8             	90782964	        13.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-500-8                  	13261676	        89.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-500-8         	  550696	      2171 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-500-8     	469050262	         2.668 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-500-8       	471905608	         2.525 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-500-8                  	95303680	        13.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-500-8                    	25091048	        46.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-500-8             	69339764	        18.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-1000-8                 	 5598408	       227.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-1000-8        	  341023	      3808 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-1000-8    	464446659	         2.568 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-1000-8      	481543204	         2.511 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-1000-8                 	86584708	        14.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-1000-8                   	15018128	        82.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-1000-8            	51034702	        23.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-1500-8                 	 4398994	       290.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-1500-8        	  203257	      6178 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-1500-8    	459044197	         2.880 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-1500-8      	464773890	         2.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-1500-8                 	75143734	        17.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-1500-8                   	 8807802	       116.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-1500-8            	50747034	        24.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-2000-8                 	 4344816	       274.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-2000-8        	  112053	     10608 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-2000-8    	480695629	         2.665 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-2000-8      	454303790	         2.616 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-2000-8                 	77015767	        15.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-2000-8                   	12478262	       103.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/ExponentialSearch-2000-8            	50264108	        23.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearch-2500-8                 	 1781388	       671.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchRecursive-2500-8        	  307462	      4004 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchTransposition-2500-8    	471750946	         2.752 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/LinearSearchMoveToFront-2500-8      	478033417	         2.609 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/BinarySearch-2500-8                 	76692404	        16.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSearch/JumpSearch-2500-8                   	 5852322	       201.9 ns/op	       0 B/op	       0 allocs/op
